"Geographic Area Name (NAME)","2017 NAICS code (NAICS2017)","Meaning of NAICS code (NAICS2017_LABEL)","Meaning of Employment size of establishments code (EMPSZFE_LABEL)","Year (YEAR)","Number of establishments (ESTAB)"
"Albany County, New York","31-33","Manufacturing","All establishments","2017","234"
"Albany County, New York","31-33","Manufacturing","Establishments operated for the entire year","2017","234"
"Albany County, New York","31-33","Manufacturing","Establishments operated entire year with less than 5 employees","2017","110"
"Albany County, New York","31-33","Manufacturing","Establishments operated entire year with 5 to 9 employees","2017","27"
"Albany County, New York","31-33","Manufacturing","Establishments operated entire year with 10 to 19 employees","2017","24"
"Albany County, New York","31-33","Manufacturing","Establishments operated entire year with 20 to 49 employees","2017","33"
"Albany County, New York","31-33","Manufacturing","Establishments operated entire year with 50 to 99 employees","2017","18"
"Albany County, New York","31-33","Manufacturing","Establishments operated entire year with 100 to 249 employees","2017","13"
"Albany County, New York","31-33","Manufacturing","Establishments operated entire year with 250 employees or more","2017","9"
"Allegany County, New York","31-33","Manufacturing","All establishments","2017","36"
"Allegany County, New York","31-33","Manufacturing","Establishments operated for the entire year","2017","36"
"Allegany County, New York","31-33","Manufacturing","Establishments operated entire year with less than 5 employees","2017","13"
"Allegany County, New York","31-33","Manufacturing","Establishments operated entire year with 5 to 9 employees","2017","3"
"Allegany County, New York","31-33","Manufacturing","Establishments operated entire year with 10 to 19 employees","2017","6"
"Allegany County, New York","31-33","Manufacturing","Establishments operated entire year with 20 to 49 employees","2017","5"
"Allegany County, New York","31-33","Manufacturing","Establishments operated entire year with 50 to 99 employees","2017","3"
"Allegany County, New York","31-33","Manufacturing","Establishments operated entire year with 100 to 249 employees","2017","4"
"Bronx County, New York","31-33","Manufacturing","All establishments","2017","312"
"Bronx County, New York","31-33","Manufacturing","Establishments operated for the entire year","2017","307"
"Bronx County, New York","31-33","Manufacturing","Establishments operated entire year with less than 5 employees","2017","167"
"Bronx County, New York","31-33","Manufacturing","Establishments operated entire year with 5 to 9 employees","2017","49"
"Bronx County, New York","31-33","Manufacturing","Establishments operated entire year with 10 to 19 employees","2017","30"
"Bronx County, New York","31-33","Manufacturing","Establishments operated entire year with 20 to 49 employees","2017","37"
"Bronx County, New York","31-33","Manufacturing","Establishments operated entire year with 50 to 99 employees","2017","12"
"Bronx County, New York","31-33","Manufacturing","Establishments operated entire year with 100 to 249 employees","2017","7"
"Bronx County, New York","31-33","Manufacturing","Establishments operated entire year with 250 employees or more","2017","5"
"Bronx County, New York","31-33","Manufacturing","Establishments not operated for the entire year","2017","5"
"Broome County, New York","31-33","Manufacturing","All establishments","2017","165"
"Broome County, New York","31-33","Manufacturing","Establishments operated for the entire year","2017","163"
"Broome County, New York","31-33","Manufacturing","Establishments operated entire year with less than 5 employees","2017","56"
"Broome County, New York","31-33","Manufacturing","Establishments operated entire year with 5 to 9 employees","2017","19"
"Broome County, New York","31-33","Manufacturing","Establishments operated entire year with 10 to 19 employees","2017","27"
"Broome County, New York","31-33","Manufacturing","Establishments operated entire year with 20 to 49 employees","2017","33"
"Broome County, New York","31-33","Manufacturing","Establishments operated entire year with 50 to 99 employees","2017","12"
"Broome County, New York","31-33","Manufacturing","Establishments operated entire year with 100 to 249 employees","2017","10"
"Broome County, New York","31-33","Manufacturing","Establishments operated entire year with 250 employees or more","2017","6"
"Cattaraugus County, New York","31-33","Manufacturing","All establishments","2017","72"
"Cattaraugus County, New York","31-33","Manufacturing","Establishments operated for the entire year","2017","72"
"Cattaraugus County, New York","31-33","Manufacturing","Establishments operated entire year with less than 5 employees","2017","31"
"Cattaraugus County, New York","31-33","Manufacturing","Establishments operated entire year with 5 to 9 employees","2017","6"
"Cattaraugus County, New York","31-33","Manufacturing","Establishments operated entire year with 10 to 19 employees","2017","12"
"Cattaraugus County, New York","31-33","Manufacturing","Establishments operated entire year with 20 to 49 employees","2017","10"
"Cattaraugus County, New York","31-33","Manufacturing","Establishments operated entire year with 50 to 99 employees","2017","10"
"Cayuga County, New York","31-33","Manufacturing","All establishments","2017","82"
"Cayuga County, New York","31-33","Manufacturing","Establishments operated for the entire year","2017","82"
"Cayuga County, New York","31-33","Manufacturing","Establishments operated entire year with less than 5 employees","2017","28"
"Cayuga County, New York","31-33","Manufacturing","Establishments operated entire year with 5 to 9 employees","2017","11"
"Cayuga County, New York","31-33","Manufacturing","Establishments operated entire year with 10 to 19 employees","2017","20"
"Cayuga County, New York","31-33","Manufacturing","Establishments operated entire year with 20 to 49 employees","2017","10"
"Cayuga County, New York","31-33","Manufacturing","Establishments operated entire year with 50 to 99 employees","2017","6"
"Cayuga County, New York","31-33","Manufacturing","Establishments operated entire year with 100 to 249 employees","2017","3"
"Cayuga County, New York","31-33","Manufacturing","Establishments operated entire year with 250 employees or more","2017","4"
"Chautauqua County, New York","31-33","Manufacturing","All establishments","2017","186"
"Chautauqua County, New York","31-33","Manufacturing","Establishments operated for the entire year","2017","182"
"Chautauqua County, New York","31-33","Manufacturing","Establishments operated entire year with less than 5 employees","2017","57"
"Chautauqua County, New York","31-33","Manufacturing","Establishments operated entire year with 5 to 9 employees","2017","24"
"Chautauqua County, New York","31-33","Manufacturing","Establishments operated entire year with 10 to 19 employees","2017","34"
"Chautauqua County, New York","31-33","Manufacturing","Establishments operated entire year with 20 to 49 employees","2017","32"
"Chautauqua County, New York","31-33","Manufacturing","Establishments operated entire year with 50 to 99 employees","2017","12"
"Chautauqua County, New York","31-33","Manufacturing","Establishments operated entire year with 100 to 249 employees","2017","13"
"Chautauqua County, New York","31-33","Manufacturing","Establishments operated entire year with 250 employees or more","2017","10"
"Chautauqua County, New York","31-33","Manufacturing","Establishments not operated for the entire year","2017","4"
"Chemung County, New York","31-33","Manufacturing","All establishments","2017","82"
"Chemung County, New York","31-33","Manufacturing","Establishments operated for the entire year","2017","82"
"Chemung County, New York","31-33","Manufacturing","Establishments operated entire year with less than 5 employees","2017","26"
"Chemung County, New York","31-33","Manufacturing","Establishments operated entire year with 5 to 9 employees","2017","7"
"Chemung County, New York","31-33","Manufacturing","Establishments operated entire year with 10 to 19 employees","2017","7"
"Chemung County, New York","31-33","Manufacturing","Establishments operated entire year with 20 to 49 employees","2017","20"
"Chemung County, New York","31-33","Manufacturing","Establishments operated entire year with 50 to 99 employees","2017","9"
"Chemung County, New York","31-33","Manufacturing","Establishments operated entire year with 100 to 249 employees","2017","5"
"Chemung County, New York","31-33","Manufacturing","Establishments operated entire year with 250 employees or more","2017","8"
"Chenango County, New York","31-33","Manufacturing","All establishments","2017","64"
"Chenango County, New York","31-33","Manufacturing","Establishments operated for the entire year","2017","63"
"Chenango County, New York","31-33","Manufacturing","Establishments operated entire year with less than 5 employees","2017","29"
"Chenango County, New York","31-33","Manufacturing","Establishments operated entire year with 5 to 9 employees","2017","5"
"Chenango County, New York","31-33","Manufacturing","Establishments operated entire year with 10 to 19 employees","2017","4"
"Chenango County, New York","31-33","Manufacturing","Establishments operated entire year with 20 to 49 employees","2017","12"
"Chenango County, New York","31-33","Manufacturing","Establishments operated entire year with 50 to 99 employees","2017","8"
"Chenango County, New York","31-33","Manufacturing","Establishments operated entire year with 250 employees or more","2017","4"
"Clinton County, New York","31-33","Manufacturing","All establishments","2017","91"
"Clinton County, New York","31-33","Manufacturing","Establishments operated for the entire year","2017","89"
"Clinton County, New York","31-33","Manufacturing","Establishments operated entire year with less than 5 employees","2017","33"
"Clinton County, New York","31-33","Manufacturing","Establishments operated entire year with 5 to 9 employees","2017","8"
"Clinton County, New York","31-33","Manufacturing","Establishments operated entire year with 10 to 19 employees","2017","9"
"Clinton County, New York","31-33","Manufacturing","Establishments operated entire year with 20 to 49 employees","2017","19"
"Clinton County, New York","31-33","Manufacturing","Establishments operated entire year with 50 to 99 employees","2017","7"
"Clinton County, New York","31-33","Manufacturing","Establishments operated entire year with 100 to 249 employees","2017","8"
"Clinton County, New York","31-33","Manufacturing","Establishments operated entire year with 250 employees or more","2017","5"
"Columbia County, New York","31-33","Manufacturing","All establishments","2017","81"
"Columbia County, New York","31-33","Manufacturing","Establishments operated for the entire year","2017","81"
"Columbia County, New York","31-33","Manufacturing","Establishments operated entire year with less than 5 employees","2017","39"
"Columbia County, New York","31-33","Manufacturing","Establishments operated entire year with 5 to 9 employees","2017","10"
"Columbia County, New York","31-33","Manufacturing","Establishments operated entire year with 10 to 19 employees","2017","13"
"Columbia County, New York","31-33","Manufacturing","Establishments operated entire year with 20 to 49 employees","2017","10"
"Columbia County, New York","31-33","Manufacturing","Establishments operated entire year with 50 to 99 employees","2017","8"
"Cortland County, New York","31-33","Manufacturing","All establishments","2017","56"
"Cortland County, New York","31-33","Manufacturing","Establishments operated for the entire year","2017","55"
"Cortland County, New York","31-33","Manufacturing","Establishments operated entire year with less than 5 employees","2017","20"
"Cortland County, New York","31-33","Manufacturing","Establishments operated entire year with 5 to 9 employees","2017","7"
"Cortland County, New York","31-33","Manufacturing","Establishments operated entire year with 10 to 19 employees","2017","7"
"Cortland County, New York","31-33","Manufacturing","Establishments operated entire year with 20 to 49 employees","2017","9"
"Cortland County, New York","31-33","Manufacturing","Establishments operated entire year with 50 to 99 employees","2017","7"
"Cortland County, New York","31-33","Manufacturing","Establishments operated entire year with 100 to 249 employees","2017","3"
"Delaware County, New York","31-33","Manufacturing","All establishments","2017","53"
"Delaware County, New York","31-33","Manufacturing","Establishments operated for the entire year","2017","50"
"Delaware County, New York","31-33","Manufacturing","Establishments operated entire year with less than 5 employees","2017","18"
"Delaware County, New York","31-33","Manufacturing","Establishments operated entire year with 5 to 9 employees","2017","3"
"Delaware County, New York","31-33","Manufacturing","Establishments operated entire year with 10 to 19 employees","2017","6"
"Delaware County, New York","31-33","Manufacturing","Establishments operated entire year with 20 to 49 employees","2017","14"
"Delaware County, New York","31-33","Manufacturing","Establishments operated entire year with 100 to 249 employees","2017","4"
"Delaware County, New York","31-33","Manufacturing","Establishments operated entire year with 250 employees or more","2017","3"
"Delaware County, New York","31-33","Manufacturing","Establishments not operated for the entire year","2017","3"
"Dutchess County, New York","31-33","Manufacturing","All establishments","2017","186"
"Dutchess County, New York","31-33","Manufacturing","Establishments operated for the entire year","2017","186"
"Dutchess County, New York","31-33","Manufacturing","Establishments operated entire year with less than 5 employees","2017","125"
"Dutchess County, New York","31-33","Manufacturing","Establishments operated entire year with 5 to 9 employees","2017","14"
"Dutchess County, New York","31-33","Manufacturing","Establishments operated entire year with 10 to 19 employees","2017","13"
"Dutchess County, New York","31-33","Manufacturing","Establishments operated entire year with 20 to 49 employees","2017","15"
"Dutchess County, New York","31-33","Manufacturing","Establishments operated entire year with 50 to 99 employees","2017","12"
"Dutchess County, New York","31-33","Manufacturing","Establishments operated entire year with 100 to 249 employees","2017","4"
"Dutchess County, New York","31-33","Manufacturing","Establishments operated entire year with 250 employees or more","2017","3"
"Erie County, New York","31-33","Manufacturing","All establishments","2017","963"
"Erie County, New York","31-33","Manufacturing","Establishments operated for the entire year","2017","953"
"Erie County, New York","31-33","Manufacturing","Establishments operated entire year with less than 5 employees","2017","402"
"Erie County, New York","31-33","Manufacturing","Establishments operated entire year with 5 to 9 employees","2017","117"
"Erie County, New York","31-33","Manufacturing","Establishments operated entire year with 10 to 19 employees","2017","124"
"Erie County, New York","31-33","Manufacturing","Establishments operated entire year with 20 to 49 employees","2017","136"
"Erie County, New York","31-33","Manufacturing","Establishments operated entire year with 50 to 99 employees","2017","78"
"Erie County, New York","31-33","Manufacturing","Establishments operated entire year with 100 to 249 employees","2017","58"
